Thời gian,Mã Đơn Hàng,Mã Chi Nhánh,Mã Nhân Viên,Mã Sản Phẩm,Mã Khách Hàng,Số Lượng,Doanh Thu,Lợi Nhuận,Tổng Giá Vốn
2022-01-10,ĐH4730944,CN HCM,NV116,P-440,KH-0368,7,85050000,28350000,56700000
2022-01-10,ĐH8149842,CN DN,NV130,P-007,KH-0304,4,24600000,8200000,16400000
2022-01-10,ĐH6313432,CN HCM,NV018,P-109,KH-0245,7,36750000,12250000,24500000
2022-01-10,ĐH8149842,CN DN,NV130,P-680,KH-0304,4,24600000,8200000,16400000
2022-01-10,ĐH6313432,CN HCM,NV018,P-030,KH-0245,7,36750000,12250000,24500000
2022-01-10,ĐH2081420,CN DN,NV165,P-410,KH-0417,7,37695000,12565000,25130000
2022-01-10,ĐH6493476,TS HN,NV146,P-135,KH-0374,7,3675000,1225000,2450000
2022-01-10,ĐH1975163,CN HCM,NV093,P-496,KH-0537,6,362700000,120900000,241800000
2022-01-10,ĐH5446595,TS HN,NV004,P-600,KH-0022,5,15225000,5075000,10150000
2022-01-10,ĐH2019576,CN DN,NV127,P-379,KH-0557,7,32760000,10920000,21840000
2022-01-10,ĐH5453965,TS HN,NV238,P-417,KH-0136,5,312825000,104275000,208550000
2022-01-10,ĐH9584531,TS HN,NV024,P-595,KH-0595,6,5760000,1920000,3840000
2022-01-10,ĐH9109387,TS HN,NV115,P-317,KH-0414,7,11655000,3885000,7770000
2022-01-10,ĐH4229101,TS HN,NV172,P-749,KH-0560,6,9450000,3150000,6300000
2022-01-10,ĐH6127221,CN HCM,NV222,P-266,KH-0435,7,11025000,3675000,7350000
2022-01-10,ĐH1497657,CN HCM,NV044,P-326,KH-0418,6,2250000,750000,1500000
2022-01-10,ĐH4813212,TS HN,NV057,P-436,KH-0547,7,32340000,10780000,21560000
2022-01-10,ĐH8003217,CN HCM,NV230,P-412,KH-0423,5,220875000,73625000,147250000
2022-01-10,ĐH6248542,CN DN,NV050,P-357,KH-0280,7,55545000,18515000,37030000
2022-01-10,ĐH1027730,CN DN,NV179,P-025,KH-0402,6,109350000,36450000,72900000
2022-01-10,ĐH4518618,CN DN,NV165,P-709,KH-0622,7,6195000,2065000,4130000
2022-01-10,ĐH5572165,CN DN,NV186,P-180,KH-0641,6,48510000,16170000,32340000
2022-01-10,ĐH4988183,CN HCM,NV190,P-307,KH-0603,7,190470000,63490000,126980000
2022-01-10,ĐH1017133,TS HN,NV216,P-704,KH-0570,6,2880000,960000,1920000
2022-01-10,ĐH3976690,CN HCM,NV166,P-625,KH-0556,6,34560000,11520000,23040000
2022-01-10,ĐH9357904,CN DN,NV028,P-638,KH-0685,7,39375000,13125000,26250000
2022-01-10,ĐH3542980,CN HCM,NV169,P-120,KH-0228,5,41685000,13895000,27790000
