Mã Khách Hàng,Tên Khách Hàng,SDT,Email,Nhóm Khách Hàng
KH-0001,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ BÁCH KHOA,447561385,m5wjfiwb@gmail.com,Tổ chức chính phủ
KH-0002,Công ty CP Phát triển Kỹ thuật và Thương mại Tân Đức,548270279,0uzyv3e9@gmail.com,Khách hàng cá nhân
KH-0003,NGƯỜI MUA KHÔNG LẤY HÓA ĐƠN,484803011,w9oml1no@gmail.com,Ngân hàng
KH-0004,CÔNG TY TNHH PRO ACTIVE GLOBAL VIỆT NAM,318172364,3t7rqdnm@gmail.com,Ngân hàng
KH-0005,Công ty TNHH Công nghệ Ktech,199526157,9qashksb@gmail.com,Doanh nghiệp
KH-0006,NGÂN HÀNG TMCP Á CHÂU,574851771,xbi6spwc@gmail.com,Tổ chức chính phủ
KH-0007,Công ty TNHH Tích Hợp Hệ thống CMC Sài Gòn,127010352,7qd4w3v6@gmail.com,Doanh nghiệp
KH-0008,CN Cty TNHH Máy Tính Nét (TP. Hà Nội),397413415,n3ayxkiq@gmail.com,Ngân hàng
KH-0009,CỬA HÀNG VI TÍNH PHÁT ĐẠT BÌNH DƯƠNG,487329582,m04c8v1c@gmail.com,Doanh nghiệp
KH-0010,CN CTY TNHH KDDI VN TẠI TP. HCM,400972714,d41x7zp7@gmail.com,Khách hàng cá nhân
KH-0011,DNTN VŨ CÁNH,708191261,c0etwy3y@gmail.com,Tổ chức chính phủ
KH-0012,CÔNG TY TNHH NAVIC VÀ KUNSHIN VIỆT NAM,320391742,9glw5utu@gmail.com,Khách hàng cá nhân
KH-0013,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN CÔNG NGHỆ SÀI GÒN,306552218,blyx6y4e@gmail.com,Khách hàng cá nhân
KH-0014,CTY TNHH SOFTWAREONE VIỆT NAM,525314290,9yz1mtxw@gmail.com,Khách hàng cá nhân
KH-0015,CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN NAM,199479863,qqv4kucs@gmail.com,Doanh nghiệp
KH-0016,Văn phòng thường trú Taisei Corporation tại Tp HCM,351497049,la66osfz@gmail.com,Doanh nghiệp
KH-0017,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG THẾ HỆ MỚI,690080445,ds5hylr4@gmail.com,Tổ chức chính phủ
KH-0018,CÔNG TY TNHH TM DV CÔNG NGHỆ MỘT THÀNH VIÊN PHÚ AN,607008765,9vs9jhow@gmail.com,Ngân hàng
KH-0019,CÔNG TY TNHH DUY NGUYỄN MPS,722672687,of1xb0o2@gmail.com,Ngân hàng
KH-0020,CTY TNHH TRÚC XUÂN,947749761,rt99nhza@gmail.com,Tổ chức chính phủ
KH-0021,CÔNG TY CỔ PHẦN GĂNG VIỆT,507699821,sqesqbns@gmail.com,Doanh nghiệp
KH-0022,Khách lẻ,923980191,34fpcpft@gmail.com,Tổ chức chính phủ
KH-0023,CÔNG TY CỔ PHẦN BỆNH VIỆN MẮT QUỐC TẾ HOÀN MỸ SÀI GÒN,896840046,bq7pxddr@gmail.com,Khách hàng cá nhân
KH-0024,Công Ty TNHH Phần Mềm Kỷ Nguyên Số,89548919,506cuc39@gmail.com,Doanh nghiệp
KH-0025,CÔNG TY TNHH SOLID & SOFT,426348666,is40adwv@gmail.com,Khách hàng cá nhân
KH-0026,CÔNG TY TNHH DGS LOGISTICS,512945295,wq5jg57e@gmail.com,Khách hàng cá nhân
KH-0027,CÔNG TY TNHH GIAO NHẬN KỶ OAI RỒNG CHI NA,849247258,ykfeirvq@gmail.com,Khách hàng cá nhân
KH-0028,CÔNG TY TNHH ALTUS GROUP (VIỆT NAM),325778551,kcswejts@gmail.com,Ngân hàng
KH-0029,CÔNG TY TNHH SHOWA BRAIN NAVI VIỆT NAM,993712230,pqc4a424@gmail.com,Khách hàng cá nhân
KH-0030,Công ty TNHH TM DV Thiết bị số Huy Phát,908972806,uobthsav@gmail.com,Khách hàng cá nhân
KH-0031,Công ty TNHH Winning Access Property Việt Nam,524184485,3eajq2ap@gmail.com,Khách hàng cá nhân
KH-0032,CÔNG TY TNHH MAINETTI (VIỆT NAM),26778756,jv4i3sfc@gmail.com,Tổ chức chính phủ
KH-0033,CÔNG TY TNHH CƠ KHÍ MINH ĐỨC,983783225,sy6pbhyl@gmail.com,Khách hàng cá nhân
KH-0034,CÔNG TY TNHH CBRE (VIỆT NAM),216745869,tk4vt3zc@gmail.com,Khách hàng cá nhân
KH-0035,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP LONG SƠN,152428798,bc6lbxca@gmail.com,Ngân hàng
KH-0036,CÔNG TY TNHH TIN HỌC VIỄN THÔNG VINAFORE,368504842,e6kllsek@gmail.com,Doanh nghiệp
KH-0037,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ TIN HỌC AN PHÚ,750846522,ezmilyly@gmail.com,Ngân hàng
KH-0038,CÔNG TY TNHH EPSON VIỆT NAM,303974668,6qtf02hd@gmail.com,Khách hàng cá nhân
KH-0039,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẢN VIỆT,15365243,8d31nucs@gmail.com,Ngân hàng
KH-0040,CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ MINH ANH,776865056,bgkj42c2@gmail.com,Tổ chức chính phủ
KH-0041,Công ty Luật TNHH GRUENKORN & PARTNER,793113071,nllc4tt7@gmail.com,Doanh nghiệp
KH-0042,CÔNG TY LUẬT TNHH QUỐC TẾ VIỆT NAM (VILAF – HỒNG ĐỨC),803296746,0qlfw4dh@gmail.com,Doanh nghiệp
KH-0043,CÔNG TY  TNHH  TM DV  TRANG THIẾT BỊ Y TẾ TPT MIỀN NAM,526400579,762rwhst@gmail.com,Doanh nghiệp
KH-0044,CÔNG TY TRÁCH NHIỆM HỮU HẠN ORGANO VIỆT NAM,490148021,038vq7oo@gmail.com,Khách hàng cá nhân
KH-0045,CÔNG TY TRÁCH NHIỆM HỮU HẠN  NTT DATA VIỆT NAM,922569940,cz3wpvy9@gmail.com,Doanh nghiệp
KH-0046,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ ACT,608561621,5u8bl18z@gmail.com,Tổ chức chính phủ
KH-0047,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VIỄN THÔNG THỊNH PHÁT,652586575,t3ueedoq@gmail.com,Ngân hàng
KH-0048,CÔNG TY TNHH TƯ VẤN THIẾT KẾ TUỆ QUANG PT,642025474,pjah0dq2@gmail.com,Khách hàng cá nhân
KH-0049,CÔNG TY TNHH WINS SOFT,969396501,f5vi52dz@gmail.com,Doanh nghiệp
